001 996 instances, 996 positive probabilities (avg logP=-1.35581611343008), 0 negative probabilities
002 996 instances, 996 positive probabilities (avg logP=-1.29687329916278), 0 negative probabilities
003 996 instances, 980 positive probabilities (avg logP=-1.25628137108894), 16 negative probabilities
004 996 instances, 974 positive probabilities (avg logP=-1.22387357907241), 22 negative probabilities
005 996 instances, 976 positive probabilities (avg logP=-1.22960207734672), 20 negative probabilities
006 996 instances, 980 positive probabilities (avg logP=-1.23995930322661), 16 negative probabilities
007 996 instances, 976 positive probabilities (avg logP=-1.25470322904552), 20 negative probabilities
008 996 instances, 978 positive probabilities (avg logP=-1.26651501917995), 18 negative probabilities
009 996 instances, 977 positive probabilities (avg logP=-1.27352103147109), 19 negative probabilities
010 996 instances, 976 positive probabilities (avg logP=-1.28182551586925), 20 negative probabilities
011 996 instances, 976 positive probabilities (avg logP=-1.28668330398891), 20 negative probabilities
012 996 instances, 977 positive probabilities (avg logP=-1.29170603279729), 19 negative probabilities
013 996 instances, 978 positive probabilities (avg logP=-1.29748956632602), 18 negative probabilities
014 996 instances, 984 positive probabilities (avg logP=-1.30442678838751), 12 negative probabilities
015 996 instances, 984 positive probabilities (avg logP=-1.31028457238719), 12 negative probabilities
016 996 instances, 986 positive probabilities (avg logP=-1.31501379675794), 10 negative probabilities
017 996 instances, 987 positive probabilities (avg logP=-1.31833389752814), 9 negative probabilities
018 996 instances, 987 positive probabilities (avg logP=-1.32246715361977), 9 negative probabilities
019 996 instances, 982 positive probabilities (avg logP=-1.3264998829194), 14 negative probabilities
020 996 instances, 985 positive probabilities (avg logP=-1.32794793883535), 11 negative probabilities
021 996 instances, 984 positive probabilities (avg logP=-1.33337291306033), 12 negative probabilities
022 996 instances, 986 positive probabilities (avg logP=-1.3355317242659), 10 negative probabilities
023 996 instances, 985 positive probabilities (avg logP=-1.33805037086126), 11 negative probabilities
024 996 instances, 983 positive probabilities (avg logP=-1.33907121628292), 13 negative probabilities
025 996 instances, 982 positive probabilities (avg logP=-1.34062189849306), 14 negative probabilities
026 996 instances, 982 positive probabilities (avg logP=-1.34180123317025), 14 negative probabilities
027 996 instances, 982 positive probabilities (avg logP=-1.34360452212931), 14 negative probabilities
028 996 instances, 980 positive probabilities (avg logP=-1.3463553905463), 16 negative probabilities
029 996 instances, 978 positive probabilities (avg logP=-1.34681019919301), 18 negative probabilities
030 996 instances, 977 positive probabilities (avg logP=-1.34767306538137), 19 negative probabilities
031 996 instances, 975 positive probabilities (avg logP=-1.34894529876266), 21 negative probabilities
032 996 instances, 976 positive probabilities (avg logP=-1.35157939076321), 20 negative probabilities
033 996 instances, 977 positive probabilities (avg logP=-1.35339673114214), 19 negative probabilities
034 996 instances, 977 positive probabilities (avg logP=-1.3559769239688), 19 negative probabilities
035 996 instances, 974 positive probabilities (avg logP=-1.3567044166742), 22 negative probabilities
036 996 instances, 972 positive probabilities (avg logP=-1.35713729238544), 24 negative probabilities
037 996 instances, 976 positive probabilities (avg logP=-1.35918575843597), 20 negative probabilities
038 996 instances, 973 positive probabilities (avg logP=-1.36111859082831), 23 negative probabilities
039 996 instances, 972 positive probabilities (avg logP=-1.3623530870665), 24 negative probabilities
040 996 instances, 971 positive probabilities (avg logP=-1.36408247803243), 25 negative probabilities
041 996 instances, 917 positive probabilities (avg logP=-1.36522928984894), 79 negative probabilities
042 996 instances, 923 positive probabilities (avg logP=-1.36714567761913), 73 negative probabilities
043 996 instances, 919 positive probabilities (avg logP=-1.36703472059484), 77 negative probabilities
044 996 instances, 920 positive probabilities (avg logP=-1.36757567066897), 76 negative probabilities
045 996 instances, 923 positive probabilities (avg logP=-1.36852410462081), 73 negative probabilities
046 996 instances, 921 positive probabilities (avg logP=-1.37023858980126), 75 negative probabilities
047 996 instances, 916 positive probabilities (avg logP=-1.37026576253766), 80 negative probabilities
048 996 instances, 917 positive probabilities (avg logP=-1.3713330849106), 79 negative probabilities
049 996 instances, 921 positive probabilities (avg logP=-1.37220132748316), 75 negative probabilities
050 996 instances, 919 positive probabilities (avg logP=-1.37228970134045), 77 negative probabilities
051 996 instances, 923 positive probabilities (avg logP=-1.37418991086959), 73 negative probabilities
052 996 instances, 923 positive probabilities (avg logP=-1.37389413489445), 73 negative probabilities
053 996 instances, 924 positive probabilities (avg logP=-1.37488834938424), 72 negative probabilities
054 996 instances, 927 positive probabilities (avg logP=-1.37585125153554), 69 negative probabilities
055 996 instances, 919 positive probabilities (avg logP=-1.37617917946307), 77 negative probabilities
056 996 instances, 918 positive probabilities (avg logP=-1.37574404863963), 78 negative probabilities
057 996 instances, 921 positive probabilities (avg logP=-1.3770466465771), 75 negative probabilities
058 996 instances, 922 positive probabilities (avg logP=-1.3781450647193), 74 negative probabilities
059 996 instances, 918 positive probabilities (avg logP=-1.378995380028), 78 negative probabilities
060 996 instances, 918 positive probabilities (avg logP=-1.37986568613637), 78 negative probabilities
061 996 instances, 916 positive probabilities (avg logP=-1.37964712765019), 80 negative probabilities
062 996 instances, 915 positive probabilities (avg logP=-1.38099886192857), 81 negative probabilities
063 996 instances, 912 positive probabilities (avg logP=-1.38050754854169), 84 negative probabilities
064 996 instances, 919 positive probabilities (avg logP=-1.38250942814286), 77 negative probabilities
065 996 instances, 927 positive probabilities (avg logP=-1.38241251787635), 69 negative probabilities
066 996 instances, 925 positive probabilities (avg logP=-1.3829562475203), 71 negative probabilities
067 996 instances, 925 positive probabilities (avg logP=-1.3830944001498), 71 negative probabilities
068 996 instances, 919 positive probabilities (avg logP=-1.38416629356556), 77 negative probabilities
069 996 instances, 921 positive probabilities (avg logP=-1.38472601600866), 75 negative probabilities
070 996 instances, 919 positive probabilities (avg logP=-1.38518711225038), 77 negative probabilities
071 996 instances, 915 positive probabilities (avg logP=-1.38494183733615), 81 negative probabilities
072 996 instances, 916 positive probabilities (avg logP=-1.38572417685253), 80 negative probabilities
073 996 instances, 916 positive probabilities (avg logP=-1.38644415120703), 80 negative probabilities
074 996 instances, 913 positive probabilities (avg logP=-1.38738461707971), 83 negative probabilities
075 996 instances, 913 positive probabilities (avg logP=-1.3869902570705), 83 negative probabilities
076 996 instances, 913 positive probabilities (avg logP=-1.38704070818989), 83 negative probabilities
077 996 instances, 912 positive probabilities (avg logP=-1.38784378642753), 84 negative probabilities
078 996 instances, 912 positive probabilities (avg logP=-1.38791655551398), 84 negative probabilities
079 996 instances, 908 positive probabilities (avg logP=-1.38839638143073), 88 negative probabilities
080 996 instances, 644 positive probabilities (avg logP=-1.38477622927392), 352 negative probabilities
081 996 instances, 641 positive probabilities (avg logP=-1.38269522410109), 355 negative probabilities
082 996 instances, 637 positive probabilities (avg logP=-1.38316550922066), 359 negative probabilities
083 996 instances, 637 positive probabilities (avg logP=-1.38379060115314), 359 negative probabilities
084 996 instances, 640 positive probabilities (avg logP=-1.38482126391357), 356 negative probabilities
085 996 instances, 640 positive probabilities (avg logP=-1.38533214394276), 356 negative probabilities
086 996 instances, 636 positive probabilities (avg logP=-1.38576951993022), 360 negative probabilities
087 996 instances, 638 positive probabilities (avg logP=-1.38651601015624), 358 negative probabilities
088 996 instances, 649 positive probabilities (avg logP=-1.38866614299254), 347 negative probabilities
089 996 instances, 648 positive probabilities (avg logP=-1.38896676816568), 348 negative probabilities
090 996 instances, 529 positive probabilities (avg logP=-1.3549425695841), 467 negative probabilities
091 996 instances, 528 positive probabilities (avg logP=-1.35536766568884), 468 negative probabilities
092 996 instances, 531 positive probabilities (avg logP=-1.35719901797646), 465 negative probabilities
093 996 instances, 533 positive probabilities (avg logP=-1.35761263069617), 463 negative probabilities
094 996 instances, 529 positive probabilities (avg logP=-1.35767392633168), 467 negative probabilities
095 996 instances, 528 positive probabilities (avg logP=-1.35811436722644), 468 negative probabilities
096 996 instances, 525 positive probabilities (avg logP=-1.35814572183549), 471 negative probabilities
097 996 instances, 524 positive probabilities (avg logP=-1.35919119469424), 472 negative probabilities
098 996 instances, 521 positive probabilities (avg logP=-1.35965368549498), 475 negative probabilities
099 996 instances, 523 positive probabilities (avg logP=-1.3598378835473), 473 negative probabilities
100 996 instances, 523 positive probabilities (avg logP=-1.35993862388798), 473 negative probabilities
101 996 instances, 536 positive probabilities (avg logP=-1.36117708616051), 460 negative probabilities
102 996 instances, 539 positive probabilities (avg logP=-1.36205812127004), 457 negative probabilities
103 996 instances, 537 positive probabilities (avg logP=-1.36212312841435), 459 negative probabilities
104 996 instances, 519 positive probabilities (avg logP=-1.34893604653649), 477 negative probabilities
105 996 instances, 524 positive probabilities (avg logP=-1.35082622192932), 472 negative probabilities
106 996 instances, 525 positive probabilities (avg logP=-1.35197685249224), 471 negative probabilities
107 996 instances, 525 positive probabilities (avg logP=-1.35294229917286), 471 negative probabilities
108 996 instances, 525 positive probabilities (avg logP=-1.35316611913078), 471 negative probabilities
109 996 instances, 526 positive probabilities (avg logP=-1.35310008031796), 470 negative probabilities
110 996 instances, 524 positive probabilities (avg logP=-1.35401756560228), 472 negative probabilities
111 996 instances, 524 positive probabilities (avg logP=-1.35551513402041), 472 negative probabilities
112 996 instances, 526 positive probabilities (avg logP=-1.35613152819339), 470 negative probabilities
113 996 instances, 524 positive probabilities (avg logP=-1.35612658068231), 472 negative probabilities
114 996 instances, 523 positive probabilities (avg logP=-1.35684376897386), 473 negative probabilities
115 996 instances, 523 positive probabilities (avg logP=-1.35714905338405), 473 negative probabilities
116 996 instances, 524 positive probabilities (avg logP=-1.35789856930993), 472 negative probabilities
117 996 instances, 525 positive probabilities (avg logP=-1.35806191428054), 471 negative probabilities
118 996 instances, 525 positive probabilities (avg logP=-1.35875824107527), 471 negative probabilities
119 996 instances, 521 positive probabilities (avg logP=-1.3590565868901), 475 negative probabilities
120 996 instances, 525 positive probabilities (avg logP=-1.35973778238863), 471 negative probabilities
121 996 instances, 523 positive probabilities (avg logP=-1.35977725203858), 473 negative probabilities
122 996 instances, 522 positive probabilities (avg logP=-1.36085771032328), 474 negative probabilities
123 996 instances, 523 positive probabilities (avg logP=-1.36155693024047), 473 negative probabilities
124 996 instances, 522 positive probabilities (avg logP=-1.36169267386759), 474 negative probabilities
125 996 instances, 523 positive probabilities (avg logP=-1.36193837985437), 473 negative probabilities
126 996 instances, 524 positive probabilities (avg logP=-1.36246094677091), 472 negative probabilities
127 996 instances, 523 positive probabilities (avg logP=-1.3626383948707), 473 negative probabilities
128 996 instances, 524 positive probabilities (avg logP=-1.36284078460158), 472 negative probabilities
129 996 instances, 524 positive probabilities (avg logP=-1.36351261064453), 472 negative probabilities
130 996 instances, 524 positive probabilities (avg logP=-1.36401862107569), 472 negative probabilities
131 996 instances, 523 positive probabilities (avg logP=-1.36424333690549), 473 negative probabilities
132 996 instances, 522 positive probabilities (avg logP=-1.36485452341602), 474 negative probabilities
